case_id,expected_http,actual_http,result,response_body
"CT-P2-201",200,200,PASS,"{""status"":""ok""}"
"CT-P2-202",200,200,PASS,"{""status"":""ok"",""database"":""connected""}"
"CT-P2-203",401,401,PASS,""
"CT-P2-204",403,403,PASS,""
"CT-P2-205",200,200,PASS,"{""data"":[{""id"":""7cfbe71b-8cc4-4182-9e05-76b6333d58c2"",""tenant_id"":""00000000-0000-0000-0000-000000000001"",""channel"":""whatsapp"",""provider"":""evolution"",""status"":""pending"",""destination"":""****0001"",""payload_summary"":{""type"":""text"",""preview"":""O seu agendamento foi confirmado (ID bec75a71…) para 2026-05-22T17:00:00.000Z. Obrigado.""},""last_error"":null,""attempts"":0,""max_attempts"":5,""correlation_id"":""bec75a71-8d59-459c-8cce-de08d471e2ab"",""appointment_id"":""bec75a71-8d59-459c-8cce-de08d471e2ab"",""idempotency_key"":""appointment_confirm:bec75a71-8d59-459c-8cce-de08d471e2ab"",""customer_id"":""00000000-0000-4000-8000-000000004031"",""created_at"":""2026-05-15T15:47:14.319Z"",""updated_at"":""2026-05-15T15:47:14.319Z"",""sent_at"":null},{""id"":""a8ad66de-5d33-4ff1-b410-c4288e05ef12"",""tenant_id"":""00000000-0000-0000-0000-000000000001"",""channel"":""whatsapp"",""provider"":""evolution"",""status"":""pending"",""destination"":""****0001"",""payload_summary"":{""type"":""text"",""preview"":""ct101""},""last_error"":null,""attempts"":0,""max_attempts"":5,""correlation_id"":null,""appointment_id"":null,""idempotency_key"":""qa-ct101-2243d2f68e53"",""customer_id"":""00000000-0000-4000-8000-000000004031"",""created_at"":""2026-05-15T15:47:14.039Z"",""updated_at"":""2026-05-15T15:47:14.039Z"",""sent_at"":null},{""id"":""02159215-d281-4706-8ab2-231b1bc7f3d7"",""tenant_id"":""00000000-0000-0000-0000-000000000001"",""channel"":""whatsapp"",""provider"":""evolution"",""status"":""pending"",""destination"":""****0001"",""payload_summary"":{""type"":""text"",""preview"":""ct100-a""},""last_error"":null,""attempts"":0,""max_attempts"":5,""correlation_id"":null,""appointment_id"":null,""idempotency_key"":""qa-ct100-c2f62ff4a8cd"",""customer_id"":""00000000-0000-4000-8000-000000004031"",""created_at"":""2026-05-15T15:47:13.967Z"",""updated_at"":""2026-05-15T15:47:13.967Z"",""sent_at"":null},{""id"":""4a7d1366-5077-4880-a118-9622239ddbe3"",""tenant_id"":""00000000-0000-0000-0000-000000000001"",""channel"":""whatsapp"",""provider"":""evolution"",""status"":""pending"",""destination"":""****0001"",""payload_summary"":{""type"":""text"",""preview"":""O seu agendamento foi confirmado (ID d8faa500…) para 2026-05-28T13:00:00.000Z. Obrigado.""},""last_error"":""fetch failed"",""attempts"":3,""max_attempts"":5,""correlation_id"":""d8faa500-9a93-4a8a-95b0-43158f4360b3"",""appointment_id"":""d8faa500-9a93-4a8a-95b0-43158f4360b3"",""idempotency_key"":""appointment_confirm:d8faa500-9a93-4a8a-95b0-43158f4360b3"",""customer_id"":""00000000-0000-4000-8000-000000004031"",""created_at"":""2026-05-15T15:27:43.324Z"",""updated_at"":""2026-05-15T15:34:48.509Z"",""sent_at"":null},{""id"":""42d90906-bda1-4c54-9d0c-bd410887ef88"",""tenant_id"":""00000000-0000-0000-0000-000000000001"",""channel"":""whatsapp"",""provider"":""evolution"",""status"":""pending"",""destination"":""****0001"",""payload_summary"":{""type"":""text"",""preview"":""O seu agendamento foi confirmado (ID 3a95ae55…) para 2026-05-22T16:30:00.000Z. Obrigado.""},""last_error"":""fetch failed"",""attempts"":3,""max_attempts"":5,""correlation_id"":""3a95ae55-4f4d-40cd-b0ee-dfb16f7ae7d8"",""appointment_id"":""3a95ae55-4f4d-40cd-b0ee-dfb16f7ae7d8"",""idempotency_key"":""appointment_confirm:3a95ae55-4f4d-40cd-b0ee-dfb16f7ae7d8"",""customer_id"":""00000000-0000-4000-8000-000000004031"",""created_at"":""2026-05-15T15:27:43.324Z"",""updated_at"":""2026-05-15T15:34:48.503Z"",""sent_at"":null},{""id"":""b98945b4-4a2c-4d7b-8c44-f2b94f08ea8d"",""tenant_id"":""00000000-0000-0000-0000-000000000001"",""channel"":""whatsapp"",""provider"":""evolution"",""status"":""pending"",""destination"":""****0001"",""payload_summary"":{""type"":""text"",""preview"":""O seu agendamento foi confirmado (ID 54db11a9…) para 2026-05-22T16:00:00.000Z. Obrigado.""},""last_error"":""fetch failed"",""attempts"":3,""max_attempts"":5,""correlation_id"":""54db11a9-abad-40d5-8ec0-b2cf78ba7f1c"",""appointment_id"":""54db11a9-abad-40d5-8ec0-b2cf78ba7f1c"",""idempotency_key"":""appointment_confirm:54db11a9-abad-40d5-8ec0-b2cf78ba7f1c"",""customer_id"":""00000000-0000-4000-8000-000000004031"",""created_at"":""2026-05-15T15:27:43.324Z"",""updated_at"":""2026-05-15T15:34:48.517Z"",""sent_at"":null},{""id"":""071c1aaf-f6f9-4492-8243-fa3342af916d"",""tenant_id"":""00000000-0000-0000-0000-000000000001"",""channel"":""whatsapp"",""provider"":""evolution"",""status"":""pending"",""destination"":""****0001"",""payload_summary"":{""type"":""text"",""preview"":""ct101""},""last_error"":""fetch failed"",""attempts"":3,""max_attempts"":5,""correlation_id"":null,""appointment_id"":null,""idempotency_key"":""qa-ct101-c0784f80c6f1"",""customer_id"":""00000000-0000-4000-8000-000000004031"",""created_at"":""2026-05-15T15:27:34.500Z"",""updated_at"":""2026-05-15T15:34:48.504Z"",""sent_at"":null},{""id"":""cf2126a7-e107-4723-9189-e620bd81b75a"",""tenant_id"":""00000000-0000-0000-0000-000000000001"",""channel"":""whatsapp"",""provider"":""evolution"",""status"":""pending"",""destination"":""****0001"",""payload_summary"":{""type"":""text"",""preview"":""ct100-a""},""last_error"":""fetch failed"",""attempts"":3,""max_attempts"":5,""correlation_id"":null,""appointment_id"":null,""idempotency_key"":""qa-ct100-21e7d65b1a93"",""customer_id"":""00000000-0000-4000-8000-000000004031"",""created_at"":""2026-05-15T15:27:34.398Z"",""updated_at"":""2026-05-15T15:34:43.551Z"",""sent_at"":null},{""id"":""18cf8a1e-010b-4d52-a226-83ad987f195c"",""tenant_id"":""00000000-0000-0000-0000-000000000001"",""channel"":""whatsapp"",""provider"":""evolution"",""status"":""pending"",""destination"":""****0001"",""payload_summary"":{""type"":""text"",""preview"":""ct101""},""last_error"":""fetch failed"",""attempts"":3,""max_attempts"":5,""correlation_id"":null,""appointment_id"":null,""idempotency_key"":""qa-ct101-addfae81e9a5"",""customer_id"":""00000000-0000-4000-8000-000000004031"",""created_at"":""2026-05-15T15:27:31.145Z"",""updated_at"":""2026-05-15T15:34:43.551Z"",""sent_at"":null},{""id"":""0a418016-0857-4369-98e5-8db58b31249c"",""tenant_id"":""00000000-0000-0000-0000-000000000001"",""channel"":""whatsapp"",""provider"":""evolution"",""status"":""pending"",""destination"":""****0001"",""payload_summary"":{""type"":""text"",""preview"":""ct100-a""},""last_error"":""fetch failed"",""attempts"":3,""max_attempts"":5,""correlation_id"":null,""appointment_id"":null,""idempotency_key"":""qa-ct100-a747407758c1"",""customer_id"":""00000000-0000-4000-8000-000000004031"",""created_at"":""2026-05-15T15:27:31.077Z"",""updated_at"":""2026-05-15T15:34:43.540Z"",""sent_at"":null}],""total"":39,""page"":1,""limit"":10}"
"CT-P2-206",401,401,PASS,""
"CT-P2-207",403,403,PASS,""
"CT-P2-208",403,403,PASS,""
"CT-P2-209",200,200,PASS,"{""data"":[{""id"":""7cfbe71b-8cc4-4182-9e05-76b6333d58c2"",""tenant_id"":""00000000-0000-0000-0000-000000000001"",""channel"":""whatsapp"",""provider"":""evolution"",""status"":""pending"",""destination"":""****0001"",""payload_summary"":{""type"":""text"",""preview"":""O seu agendamento foi confirmado (ID bec75a71…) para 2026-05-22T17:00:00.000Z. Obrigado.""},""last_error"":null,""attempts"":0,""max_attempts"":5,""correlation_id"":""bec75a71-8d59-459c-8cce-de08d471e2ab"",""appointment_id"":""bec75a71-8d59-459c-8cce-de08d471e2ab"",""idempotency_key"":""appointment_confirm:bec75a71-8d59-459c-8cce-de08d471e2ab"",""customer_id"":""00000000-0000-4000-8000-000000004031"",""created_at"":""2026-05-15T15:47:14.319Z"",""updated_at"":""2026-05-15T15:47:14.319Z"",""sent_at"":null},{""id"":""a8ad66de-5d33-4ff1-b410-c4288e05ef12"",""tenant_id"":""00000000-0000-0000-0000-000000000001"",""channel"":""whatsapp"",""provider"":""evolution"",""status"":""pending"",""destination"":""****0001"",""payload_summary"":{""type"":""text"",""preview"":""ct101""},""last_error"":null,""attempts"":0,""max_attempts"":5,""correlation_id"":null,""appointment_id"":null,""idempotency_key"":""qa-ct101-2243d2f68e53"",""customer_id"":""00000000-0000-4000-8000-000000004031"",""created_at"":""2026-05-15T15:47:14.039Z"",""updated_at"":""2026-05-15T15:47:14.039Z"",""sent_at"":null},{""id"":""02159215-d281-4706-8ab2-231b1bc7f3d7"",""tenant_id"":""00000000-0000-0000-0000-000000000001"",""channel"":""whatsapp"",""provider"":""evolution"",""status"":""pending"",""destination"":""****0001"",""payload_summary"":{""type"":""text"",""preview"":""ct100-a""},""last_error"":null,""attempts"":0,""max_attempts"":5,""correlation_id"":null,""appointment_id"":null,""idempotency_key"":""qa-ct100-c2f62ff4a8cd"",""customer_id"":""00000000-0000-4000-8000-000000004031"",""created_at"":""2026-05-15T15:47:13.967Z"",""updated_at"":""2026-05-15T15:47:13.967Z"",""sent_at"":null},{""id"":""42d90906-bda1-4c54-9d0c-bd410887ef88"",""tenant_id"":""00000000-0000-0000-0000-000000000001"",""channel"":""whatsapp"",""provider"":""evolution"",""status"":""pending"",""destination"":""****0001"",""payload_summary"":{""type"":""text"",""preview"":""O seu agendamento foi confirmado (ID 3a95ae55…) para 2026-05-22T16:30:00.000Z. Obrigado.""},""last_error"":""fetch failed"",""attempts"":3,""max_attempts"":5,""correlation_id"":""3a95ae55-4f4d-40cd-b0ee-dfb16f7ae7d8"",""appointment_id"":""3a95ae55-4f4d-40cd-b0ee-dfb16f7ae7d8"",""idempotency_key"":""appointment_confirm:3a95ae55-4f4d-40cd-b0ee-dfb16f7ae7d8"",""customer_id"":""00000000-0000-4000-8000-000000004031"",""created_at"":""2026-05-15T15:27:43.324Z"",""updated_at"":""2026-05-15T15:34:48.503Z"",""sent_at"":null},{""id"":""4a7d1366-5077-4880-a118-9622239ddbe3"",""tenant_id"":""00000000-0000-0000-0000-000000000001"",""channel"":""whatsapp"",""provider"":""evolution"",""status"":""pending"",""destination"":""****0001"",""payload_summary"":{""type"":""text"",""preview"":""O seu agendamento foi confirmado (ID d8faa500…) para 2026-05-28T13:00:00.000Z. Obrigado.""},""last_error"":""fetch failed"",""attempts"":3,""max_attempts"":5,""correlation_id"":""d8faa500-9a93-4a8a-95b0-43158f4360b3"",""appointment_id"":""d8faa500-9a93-4a8a-95b0-43158f4360b3"",""idempotency_key"":""appointment_confirm:d8faa500-9a93-4a8a-95b0-43158f4360b3"",""customer_id"":""00000000-0000-4000-8000-000000004031"",""created_at"":""2026-05-15T15:27:43.324Z"",""updated_at"":""2026-05-15T15:34:48.509Z"",""sent_at"":null},{""id"":""b98945b4-4a2c-4d7b-8c44-f2b94f08ea8d"",""tenant_id"":""00000000-0000-0000-0000-000000000001"",""channel"":""whatsapp"",""provider"":""evolution"",""status"":""pending"",""destination"":""****0001"",""payload_summary"":{""type"":""text"",""preview"":""O seu agendamento foi confirmado (ID 54db11a9…) para 2026-05-22T16:00:00.000Z. Obrigado.""},""last_error"":""fetch failed"",""attempts"":3,""max_attempts"":5,""correlation_id"":""54db11a9-abad-40d5-8ec0-b2cf78ba7f1c"",""appointment_id"":""54db11a9-abad-40d5-8ec0-b2cf78ba7f1c"",""idempotency_key"":""appointment_confirm:54db11a9-abad-40d5-8ec0-b2cf78ba7f1c"",""customer_id"":""00000000-0000-4000-8000-000000004031"",""created_at"":""2026-05-15T15:27:43.324Z"",""updated_at"":""2026-05-15T15:34:48.517Z"",""sent_at"":null},{""id"":""071c1aaf-f6f9-4492-8243-fa3342af916d"",""tenant_id"":""00000000-0000-0000-0000-000000000001"",""channel"":""whatsapp"",""provider"":""evolution"",""status"":""pending"",""destination"":""****0001"",""payload_summary"":{""type"":""text"",""preview"":""ct101""},""last_error"":""fetch failed"",""attempts"":3,""max_attempts"":5,""correlation_id"":null,""appointment_id"":null,""idempotency_key"":""qa-ct101-c0784f80c6f1"",""customer_id"":""00000000-0000-4000-8000-000000004031"",""created_at"":""2026-05-15T15:27:34.500Z"",""updated_at"":""2026-05-15T15:34:48.504Z"",""sent_at"":null},{""id"":""cf2126a7-e107-4723-9189-e620bd81b75a"",""tenant_id"":""00000000-0000-0000-0000-000000000001"",""channel"":""whatsapp"",""provider"":""evolution"",""status"":""pending"",""destination"":""****0001"",""payload_summary"":{""type"":""text"",""preview"":""ct100-a""},""last_error"":""fetch failed"",""attempts"":3,""max_attempts"":5,""correlation_id"":null,""appointment_id"":null,""idempotency_key"":""qa-ct100-21e7d65b1a93"",""customer_id"":""00000000-0000-4000-8000-000000004031"",""created_at"":""2026-05-15T15:27:34.398Z"",""updated_at"":""2026-05-15T15:34:43.551Z"",""sent_at"":null},{""id"":""18cf8a1e-010b-4d52-a226-83ad987f195c"",""tenant_id"":""00000000-0000-0000-0000-000000000001"",""channel"":""whatsapp"",""provider"":""evolution"",""status"":""pending"",""destination"":""****0001"",""payload_summary"":{""type"":""text"",""preview"":""ct101""},""last_error"":""fetch failed"",""attempts"":3,""max_attempts"":5,""correlation_id"":null,""appointment_id"":null,""idempotency_key"":""qa-ct101-addfae81e9a5"",""customer_id"":""00000000-0000-4000-8000-000000004031"",""created_at"":""2026-05-15T15:27:31.145Z"",""updated_at"":""2026-05-15T15:34:43.551Z"",""sent_at"":null},{""id"":""0a418016-0857-4369-98e5-8db58b31249c"",""tenant_id"":""00000000-0000-0000-0000-000000000001"",""channel"":""whatsapp"",""provider"":""evolution"",""status"":""pending"",""destination"":""****0001"",""payload_summary"":{""type"":""text"",""preview"":""ct100-a""},""last_error"":""fetch failed"",""attempts"":3,""max_attempts"":5,""correlation_id"":null,""appointment_id"":null,""idempotency_key"":""qa-ct100-a747407758c1"",""customer_id"":""00000000-0000-4000-8000-000000004031"",""created_at"":""2026-05-15T15:27:31.077Z"",""updated_at"":""2026-05-15T15:34:43.540Z"",""sent_at"":null},{""id"":""32ea57ef-7a3b-4925-8da9-c6e2383ae248"",""tenant_id"":""00000000-0000-0000-0000-000000000001"",""channel"":""whatsapp"",""provider"":""evolution"",""status"":""pending"",""destination"":""****0001"",""payload_summary"":{""type"":""text"",""preview"":""O seu agendamento foi confirmado (ID 6ff36d36…) para 2026-05-22T15:30:00.000Z. Obrigado.""},""last_error"":""fetch failed"",""attempts"":3,""max_attempts"":5,""correlation_id"":""6ff36d36-61c6-4e81-86a4-572a60e14418"",""appointment_id"":""6ff36d36-61c6-4e81-86a4-572a60e14418"",""idempotency_key"":""appointment_confirm:6ff36d36-61c6-4e81-86a4-572a60e14418"",""customer_id"":""00000000-0000-4000-8000-000000004031"",""created_at"":""2026-05-15T15:26:44.113Z"",""updated_at"":""2026-05-15T15:33:53.359Z"",""sent_at"":null},{""id"":""58fdc537-e09f-4ac4-9826-8e1d262347bd"",""tenant_id"":""00000000-0000-0000-0000-000000000001"",""channel"":""whatsapp"",""provider"":""evolution"",""status"":""pending"",""destination"":""****0001"",""payload_summary"":{""type"":""text"",""preview"":""O seu agendamento foi confirmado (ID e16b17a6…) para 2026-05-25T15:00:00.000Z. Obrigado.""},""last_error"":""fetch failed"",""attempts"":3,""max_attempts"":5,""correlation_id"":""e16b17a6-c7ff-48b8-92ef-bcdf8c64d87d"",""appointment_id"":""e16b17a6-c7ff-48b8-92ef-bcdf8c64d87d"",""idemp…"
"CT-P2-215",201,201,PASS,"{""id"":""fd5e5b9c-2ec0-4a8e-ba0e-bd68782cfffa"",""tenant_id"":""00000000-0000-0000-0000-000000000001"",""professional_id"":""00000000-0000-4000-8000-000000004012"",""starts_at"":""2026-05-28T16:30:00.000Z"",""ends_at"":""2026-05-28T18:30:00.000Z"",""kind"":""manual"",""reason"":""QA P2.2.1 bloqueio manual"",""created_at"":""2026-05-15T15:47:15.423Z"",""updated_at"":""2026-05-15T15:47:15.423Z"",""created_by"":""388ba85a-1dc4-46dd-91c1-cb676214d709""}"
