case_id,expected_http,actual_http,result,response_body
"CT-P2-300",200,200,PASS,"{""status"":""ok""}"
"CT-P2-301",200,200,PASS,"{""status"":""ok"",""database"":""connected""}"
"CT-P2-302",200,200,PASS," > db:migrate:dry-run > node ./scripts/migrate-docker.mjs --dry-run  === Barbearia SaaS ÔÇö Migrations (Docker Compose) === Repo   : C:\Users\Ricardo\OneDrive\Empresas Ricardo\Exeq\Projeto_Barbearia_V2\barbearia_saas_pacote_fabrica\barbearia-saas Servi├ºo: postgres (via docker compose exec)    DRY   001_init.sql (pendente)   DRY   002_auth_webhook_audit_hardening.sql (pendente)   DRY   003_availability_exceptions_timezone.sql (pendente)   DRY   004_availability_recurring_exceptions.sql (pendente)   DRY   005_phase1_exclusions_rls_core_tables.sql (pendente)   DRY   006_phase2_schema_enhancements.sql (pendente)   DRY   007_phase3_auth_appointments_consents.sql (pendente)   DRY   008_outbox_hardening.sql (pendente)   DRY   009_phase4_operational_minimum.sql (pendente)   DRY   010_service_buffers.sql (pendente)   DRY   011_user_professional_link.sql (pendente)   DRY   012_noop_documentation.sql (pendente)   DRY   013_channel_walk_in_admin.sql (pendente)   DRY   014_support_tickets_handoff.sql (pendente)   DRY   015_customer_restrictions_operational_v4.sql (pendente)   DRY   016_recall_templates_and_sends.sql (pendente)   DRY   017_appointment_holds_idempotency_active.sql (pendente)   DRY   018_pix_payments.sql (pendente)   DRY   019_waitlist_manual_override.sql (pendente)   DRY   020_finance_minimum_pilot.sql (pendente)   DRY   020a_branches_operational_fields.sql (pendente)   DRY   021_commission_and_daily_closing.sql (pendente)   DRY   022_webhook_events_enable_rls.sql (pendente)   DRY   099_demo_seed_qa.sql (pendente)   DRY   100_platform_admin_qa_seed.sql (pendente)   DRY   101_qa_bookable_mass_backfill.sql (pendente)   DRY   102_qa_customer_uuid_fix.sql (pendente)   DRY   103_operational_audit_events.sql (pendente)   DRY   104_calendar_blocks_created_by.sql (pendente)  Dry-run: 29 pendentes (n├úo executadas), 0 j├í registadas em _migrations. Conclu├¡do. "
"CT-P2-332",200,200,PASS,"qa-api-negative-battery exit=0"
"CT-P2-333",200,200,PASS,"qa-api-p2-operational-battery exit=0"
"CT-P2-334",200,200,PASS,"qa-p2-2-web-outbox-whatsapp-battery exit=0"
"CT-P2-310",200,200,PASS,"{""ok"":true,""duplicate"":false,""tenantId"":""00000000-0000-0000-0000-000000000001"",""customerId"":""dabfb71b-45c2-40e7-b7c5-3336cc0a96ce"",""messageId"":""77133634-6809-4e50-bbe2-c99f5bc73b03""}"
"CT-P2-311",200,200,PASS,"{""ok"":true,""duplicate"":true}"
"CT-P2-312",200,200,PASS,"{""ok"":true,""duplicate"":false,""tenantId"":""00000000-0000-0000-0000-000000000001"",""customerId"":""4aa0f8e6-6ea9-4ec8-8477-67306480ff41"",""messageId"":""c963a7d1-2f39-4e42-8aa7-599906a8f205""}"
"CT-P2-313",200,200,PASS,"{""date"":""2026-05-29"",""timezone"":""America/Sao_Paulo"",""slots"":[{""starts_at"":""2026-05-29T12:00:00.000Z"",""ends_at"":""2026-05-29T12:30:00.000Z""},{""starts_at"":""2026-05-29T12:30:00.000Z"",""ends_at"":""2026-05-29T13:00:00.000Z""},{""starts_at"":""2026-05-29T13:00:00.000Z"",""ends_at"":""2026-05-29T13:30:00.000Z""},{""starts_at"":""2026-05-29T13:30:00.000Z"",""ends_at"":""2026-05-29T14:00:00.000Z""},{""starts_at"":""2026-05-29T14:00:00.000Z"",""ends_at"":""2026-05-29T14:30:00.000Z""},{""starts_at"":""2026-05-29T14:30:00.000Z"",""ends_at"":""2026-05-29T15:00:00.000Z""},{""starts_at"":""2026-05-29T15:00:00.000Z"",""ends_at"":""2026-05-29T15:30:00.000Z""},{""starts_at"":""2026-05-29T15:30:00.000Z"",""ends_at"":""2026-05-29T16:00:00.000Z""},{""starts_at"":""2026-05-29T16:00:00.000Z"",""ends_at"":""2026-05-29T16:30:00.000Z""},{""starts_at"":""2026-05-29T16:30:00.000Z"",""ends_at"":""2026-05-29T17:00:00.000Z""},{""starts_at"":""2026-05-29T17:00:00.000Z"",""ends_at"":""2026-05-29T17:30:00.000Z""},{""starts_at"":""2026-05-29T17:30:00.000Z"",""ends_at"":""2026-05-29T18:00:00.000Z""},{""starts_at"":""2026-05-29T18:00:00.000Z"",""ends_at"":""2026-05-29T18:30:00.000Z""},{""starts_at"":""2026-05-29T18:30:00.000Z"",""ends_at"":""2026-05-29T19:00:00.000Z""},{""starts_at"":""2026-05-29T19:00:00.000Z"",""ends_at"":""2026-05-29T19:30:00.000Z""},{""starts_at"":""2026-05-29T19:30:00.000Z"",""ends_at"":""2026-05-29T20:00:00.000Z""},{""starts_at"":""2026-05-29T20:00:00.000Z"",""ends_at"":""2026-05-29T20:30:00.000Z""},{""starts_at"":""2026-05-29T20:30:00.000Z"",""ends_at"":""2026-05-29T21:00:00.000Z""}]}"
